name,price,seller,reviews,stars,link
Sadhan ( Secondary Fertilisers ),₹900.00,,0,0,www.google.com/aclk?sa=L&ai=DChcSEwj1qNvO0-fuAhWSq5YKHZ_yCzwYABBNGgJ0bA&sig=AOD64_3-TVORaX-6Cupx_QqTpDE0nr7FFg&ctype=5&q=&ved=0ahUKEwi2ldbO0-fuAhVk4HMBHQZBBMUQ1CkI3gE&adurl=
Lucky Mobi.Com Urea Fertilizer 500g Soil ...,₹89.00,,0,0,www.google.com/aclk?sa=L&ai=DChcSEwj1qNvO0-fuAhWSq5YKHZ_yCzwYABBTGgJ0bA&sig=AOD64_1Xc5VHWZSYLXijbXBcxXvptrKT6g&ctype=5&q=&ved=0ahUKEwi2ldbO0-fuAhVk4HMBHQZBBMUQ1CkI5gE&adurl=
Backpack Fertilizer Spreader 20Kg for ...,"₹2,660.00",,0,0,www.google.com/aclk?sa=L&ai=DChcSEwj1qNvO0-fuAhWSq5YKHZ_yCzwYABBPGgJ0bA&sig=AOD64_2Ex70IaPtxhP4X-Oh4vfbBTgQAqw&ctype=5&q=&ved=0ahUKEwi2ldbO0-fuAhVk4HMBHQZBBMUQ1CkI7gE&adurl=
